"Module","Workbook","Step","IssueType","Page","Element","Current","Proposed","Flag"
"Observations","LSTP_Observations_WF001.xlsx","65","ElementMissing","pageAdmitIPAdmitRoad","cmb_intended management","pageAdmitIPAdmitRoad / cmb_intended management","(exists nowhere)","NEEDS_LOCATOR"
"Problems","LSTP_Problems_WF001.xlsx","24","ElementMissing","pageRegRegistration","txt_ TelephoneHome","pageRegRegistration / txt_ TelephoneHome","(exists nowhere)","NEEDS_LOCATOR"
"Problems","LSTP_Problems_WF001.xlsx","25","ElementMissing","pageRegRegistration","txt_ TelephoneMobile","pageRegRegistration / txt_ TelephoneMobile","(exists nowhere)","NEEDS_LOCATOR"
"Problems","LSTP_Problems_WF001.xlsx","26","ElementMissing","pageRegRegistration","txt_ TelephoneEmail","pageRegRegistration / txt_ TelephoneEmail","(exists nowhere)","NEEDS_LOCATOR"
"Referral","LSTP_Referral_WF001.xlsx","33","ValuesDatasetConflict","pageCreateReferral","cmb_ServiceType","Values=""Advice/Consultation"" Dataset=""SERVICE_TYPE""","clear ONE (ambiguous)","NEEDS_REVIEW"
"Referral","LSTP_Referral_WF001.xlsx","34","ValuesDatasetConflict","pageCreateReferral","cmb_RefPriority","Values=""Urgent"" Dataset=""REFERRAL_PRIORITY""","clear ONE (ambiguous)","NEEDS_REVIEW"
"Referral","LSTP_Referral_WF001.xlsx","35","ValuesDatasetConflict","pageCreateReferral","cmb_RefType","Values=""Inpatient"" Dataset=""REFERRAL_TYPE""","clear ONE (ambiguous)","NEEDS_REVIEW"
"Referral","LSTP_Referral_WF001.xlsx","36","ValuesDatasetConflict","pageCreateReferral","cmb_RefSource","Values=""Self-referral"" Dataset=""REFERRAL_SOURCE""","clear ONE (ambiguous)","NEEDS_REVIEW"
"Referral","LSTP_Referral_WF001.xlsx","57","ValuesDatasetConflict","pageModifyReferralDetails","cmb_RefPriority","Values=""Routine"" Dataset=""MODIFY_PRIORITY""","clear ONE (ambiguous)","NEEDS_REVIEW"
"Referral","LSTP_Referral_WF001.xlsx","89","ValuesDatasetConflict","pageReopenReferral","cmb_SelectReason","Values=""Closed in error"" Dataset=""REOPEN_REFERRAL""","clear ONE (ambiguous)","NEEDS_REVIEW"
"Reports","LSTP_Reports_WF001.xlsx","18","ValuesDatasetConflict","","","Values=""_current | 3D | DD/MM/YYYY |_dtmPast3Day"" Dataset=""_PastDate""","clear ONE (ambiguous)","NEEDS_REVIEW"
"TaskMgmt_FloorPlan","LSTP_TaskMgmt_FloorPlan_WF001.xlsx","14","ElementMissing","pageInpatient","lnk_Floorplan","pageInpatient / lnk_Floorplan","(exists nowhere)","NEEDS_LOCATOR"
"TaskMgmt_FloorPlan","LSTP_TaskMgmt_FloorPlan_WF001.xlsx","16","ElementMissing","pageIPPegboardCurrentView","icn_Emptybubble","pageIPPegboardCurrentView / icn_Emptybubble","(exists nowhere)","NEEDS_LOCATOR"
"TaskMgmt_FloorPlan","LSTP_TaskMgmt_FloorPlan_WF001.xlsx","29","ElementWrongPage","pageBookWardappointment","btn_BookFinishnow","page=pageBookWardappointment","pageFindandbook | pageIPBook | pagePatientSearch","NEEDS_REVIEW"
"TaskMgmt_FloorPlan","LSTP_TaskMgmt_FloorPlan_WF001.xlsx","41","ElementWrongPage","pageIPPegboardCurrentView","lnkTaskPanePatient","page=pageIPPegboardCurrentView","pageHome | pageInpatient","NEEDS_REVIEW"
"TaskMgmt_FloorPlan","LSTP_TaskMgmt_FloorPlan_WF001.xlsx","45","ElementMissing","pagePatADMAdmission","cmb_intended management","pagePatADMAdmission / cmb_intended management","(exists nowhere)","NEEDS_LOCATOR"
"TaskMgmt_FloorPlan","LSTP_TaskMgmt_FloorPlan_WF001.xlsx","60","ElementMissing","pageReAssignTask","icn_task recipients","pageReAssignTask / icn_task recipients","(exists nowhere)","NEEDS_LOCATOR"
"TaskMgmt_FloorPlan","LSTP_TaskMgmt_FloorPlan_WF001.xlsx","104","ElementMissing","pageInpatient","lnk_Floorplan","pageInpatient / lnk_Floorplan","(exists nowhere)","NEEDS_LOCATOR"
"TaskMgmt_FloorPlan","LSTP_TaskMgmt_FloorPlan_WF001.xlsx","106","ElementMissing","pageIPPegboardCurrentView","icn_select bubble","pageIPPegboardCurrentView / icn_select bubble","(exists nowhere)","NEEDS_LOCATOR"
"TaskMgmt_FloorPlan","LSTP_TaskMgmt_FloorPlan_WF001.xlsx","107","ElementMissing","pageIPPegboardCurrentView","icn_select bubble","pageIPPegboardCurrentView / icn_select bubble","(exists nowhere)","NEEDS_LOCATOR"
"TaskMgmt_FloorPlan","LSTP_TaskMgmt_FloorPlan_WF001.xlsx","109","ElementWrongPage","pageIPPegboardCurrentView","lnkTaskPanePatient","page=pageIPPegboardCurrentView","pageHome | pageInpatient","NEEDS_REVIEW"
"TaskMgmt_FloorPlan","LSTP_TaskMgmt_FloorPlan_WF001.xlsx","113","ElementMissing","pagePatientTransfer","btn_Finish nowCP","pagePatient transfer / btn_Finish nowCP","(exists nowhere)","NEEDS_LOCATOR"
"Theatres","LSTP_Theatres_WF001.xlsx","161","ElementMissing","pageTheatreManagement","m","pageTheatreManagement / m","(exists nowhere)","NEEDS_LOCATOR"
"ePMA","LSTP_ePMA_WF001.xlsx","74","ValuesDatasetConflict","pageAdmitIPAdmitRoad","cmb_AdmissionSource","Values=""Temporary place of residence"" Dataset=""ADMISSIONSOURCE""","clear ONE (ambiguous)","NEEDS_REVIEW"
"ePMA","LSTP_ePMA_WF001.xlsx","75","ValuesDatasetConflict","pageAdmitIPAdmitRoad","cmb_AdmissionType","Values=""Elective Admission: Planned"" Dataset=""ADMISSION TYPE""","clear ONE (ambiguous)","NEEDS_REVIEW"
"ePMA","LSTP_ePMA_WF001.xlsx","76","ValuesDatasetConflict","pageAdmitIPAdmitRoad","cmb_intendedManagement","Values=""Scheduled sequence of night admissions"" Dataset=""INTENDEDMANAGEMENT""","clear ONE (ambiguous)","NEEDS_REVIEW"
